calibration,created,external_uid,finish_time,id,info_0,info_1,info_10,info_11,info_2,info_3,info_4_0,info_4_1,info_4_2,info_4_3,info_4_4,info_5,info_6,info_7,info_8,info_9,media_url,project_id,task_id,timeout,user_id,user_ip
,2020-06-23T17:40:10.329558,,2020-06-23T17:41:17.898591,2789,Yes,Yes,Cannot tell,Cannot tell,Yes,Yes,Surgical,,,,,Yes,5 or more,Cannot tell,Not answered,Not answered,,106,3588,,30.0,
,2020-06-23T17:41:17.975612,,2020-06-23T17:42:16.163955,2790,Yes,Yes,Protesting,Maybe,Yes,Some of them,Surgical,,,,,Yes,2,Yes,Yes,Street/ Square,,106,3590,,30.0,
,2020-06-23T17:44:01.123865,,2020-06-23T17:45:02.470141,2792,Yes,Yes,Working,Yes,Yes,No,,,,,,Not answered,5 or more,No,Not answered,Not answered,,106,3594,,30.0,
,2020-06-23T17:46:25.912437,,2020-06-23T17:46:35.204210,2794,No,Not answered,Not answered,Not answered,Not answered,Not answered,,,,,,Not answered,Not answered,Not answered,Not answered,Not answered,,106,3598,,30.0,
,2020-06-23T17:48:06.286129,,2020-06-23T17:49:50.027473,2796,Yes,Yes,Volunteering,Not answered,Yes,Some of them,Surgical,,,,,Yes,5 or more,No,Yes,Cannot tell,,106,3602,,30.0,
,2020-06-23T17:50:08.000965,,2020-06-23T17:51:46.482895,2798,Yes,Cannot tell,Cannot tell,Maybe,Yes,No,,,,,,Not answered,5 or more,No,Yes,Cannot tell,,106,3606,,30.0,
,2020-06-23T22:21:38.359344,,2020-06-23T22:22:31.783665,2800,Yes,Yes,Socialising,Yes,Yes,No,,,,,,Not answered,5 or more,No,Yes,Park,,106,3587,,30.0,
,2020-06-23T22:22:31.868561,,2020-06-23T22:23:33.728855,2801,Yes,Yes,Socialising,Yes,Yes,Yes,Surgical,,,,,Yes,5 or more,Yes,Yes,Other,,106,3591,,30.0,
,2020-06-23T22:23:33.825037,,2020-06-23T22:24:54.784254,2802,Yes,Yes,Other,Maybe,Yes,Yes,Surgical,,,,,Yes,5 or more,Cannot tell,Yes,Outdoors,,106,3595,,30.0,
,2020-06-23T22:24:54.892420,,2020-06-23T22:25:14.162971,2803,No,Not answered,Not answered,Not answered,Not answered,Not answered,,,,,,Not answered,Not answered,Not answered,Not answered,Not answered,,106,3599,,30.0,
,2020-06-23T22:25:14.217666,,2020-06-23T22:26:25.487320,2804,Yes,Yes,Socialising,Maybe,Yes,Yes,Other,,,,,Yes,5 or more,Cannot tell,Not answered,Not answered,,106,3603,,30.0,
,2020-06-23T22:26:25.568209,,2020-06-23T22:27:42.190276,2805,Yes,Yes,Other,Yes,Yes,Yes,Surgical,,,,,Yes,5 or more,Yes,Yes,Cannot tell,,106,3607,,30.0,
,2020-06-24T08:22:11.080598,,2020-06-24T08:23:29.564169,2812,Yes,Cannot tell,Other,Yes,Yes,No,,,,,,Not answered,5 or more,No,Yes,Outdoors,,106,3587,,,124.252.3.233
,2020-06-24T08:23:29.634055,,2020-06-24T08:24:20.060607,2813,Yes,Yes,Socialising,Yes,Yes,Yes,Surgical,,,,,Yes,4,No,Not answered,Not answered,,106,3589,,,124.252.3.233
,2020-06-24T08:24:20.140444,,2020-06-24T08:25:16.890044,2814,Yes,Yes,Queuing,Yes,Yes,Yes,Surgical,,,,,Yes,5 or more,Yes,Yes,Hospital,,106,3591,,,124.252.3.233
,2020-06-24T08:26:05.663623,,2020-06-24T08:27:11.390067,2816,Yes,Yes,Volunteering,Yes,Yes,Yes,Surgical,,,,,Yes,5 or more,No,Yes,Street/ Square,,106,3595,,,124.252.3.233
,2020-06-24T08:27:11.458956,,2020-06-24T08:27:30.273392,2817,Yes,Cannot tell,Not answered,Not answered,Not sure,Not answered,,,,,,Not answered,Not answered,Not answered,Not answered,Not answered,,106,3597,,,124.252.3.233
